Row,Query_Bahn_ID,Level,DTW_Mode,W_Pos,W_Joint,W_Orient,W_Vel,W_Meta,Spearman,P@100,P@10,P@5,P@3,P@1,Runtime_min
Joint only,1763740056,Trajectory,joint_states,0,1,0,0,0,0.757575757575758,0.6,0.6,1,0.666666666666667,1,0.616239161666667
Joint only_seg,1763740056,Segment,joint_states,0,1,0,0,0,-0.00689292149195726,0.819444444444444,0.425,0.15,0.0833333333333333,0,0.616239161666667
